"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.09589488404287,0.347,0.023,0,"Normal","HTRA3"
0,2.79318091026306,0.421,0.097,0,"Normal","SOBP"
0,1.18420475266932,0.718,0.396,0,"Normal","TUBA1A"
0,1.33255200414554,0.868,0.546,0,"Normal","MIR99AHG"
0,2.70596062433068,0.468,0.147,0,"Normal","COL14A1"
0,3.26776522003507,0.358,0.038,0,"Normal","CLMP"
0,2.50356723923995,0.554,0.235,0,"Normal","UST"
0,1.56206402627598,0.8,0.482,0,"Normal","BEX3"
0,2.47772233362279,0.38,0.062,0,"Normal","ISLR"
0,4.3068551203481,0.363,0.046,0,"Normal","KLHDC8A"
0,3.105734411287,0.356,0.039,0,"Normal","ADAMTS2"
0,3.09058685993692,0.442,0.125,0,"Normal","AASS"
0,5.06233363486722,0.329,0.012,0,"Normal","NRK"
0,2.39946818407707,0.481,0.164,0,"Normal","NBEA"
0,2.13432662536683,0.845,0.528,0,"Normal","ST13"
0,11.7705078387954,0.318,0.002,0,"Normal","PLA2G2A"
0,3.98014968181246,0.384,0.068,0,"Normal","WIPF3"
0,3.78237172521073,0.363,0.048,0,"Normal","NFASC"
0,3.92462928729214,0.349,0.034,0,"Normal","CXCL12"
0,5.6651345138316,0.325,0.011,0,"Normal","PLCXD3"
0,3.5181182426164,0.351,0.038,0,"Normal","MAGI2-AS3"
0,1.95310100654858,0.685,0.374,0,"Normal","DPYSL3"
0,3.36832564290202,0.366,0.055,0,"Normal","GHR"
0,2.11579378761226,0.524,0.214,0,"Normal","TMEM98"
0,4.88321130903163,0.333,0.023,0,"Normal","PODN"
0,10.5361255662044,0.311,0.001,0,"Normal","PROK1"
0,2.53912755391494,0.442,0.132,0,"Normal","ZC3H12B"
0,1.55148039565625,0.409,0.099,0,"Normal","BGN"
0,1.49124148831565,0.361,0.052,0,"Normal","PDGFRB"
0,6.89160404678397,0.313,0.004,0,"Normal","ARX"
0,1.41335086106432,0.797,0.489,0,"Normal","LDHB"
0,5.00157530743389,0.327,0.019,0,"Normal","COL15A1"
0,2.14438372043556,0.473,0.165,0,"Normal","MSRB3"
0,1.63546640820677,0.807,0.501,0,"Normal","COMMD6"
0,2.96077361032347,0.696,0.39,0,"Normal","ACSM3"
0,2.83588654118192,0.453,0.148,0,"Normal","BACH2"
0,3.49396672174168,0.384,0.079,0,"Normal","PKDCC"
0,3.80351896965148,0.338,0.034,0,"Normal","ENSG00000275443"
0,5.88799786333276,0.314,0.01,0,"Normal","FOXL2"
0,3.72129968123375,0.328,0.024,0,"Normal","VSTM4"
0,2.27391885516886,0.432,0.128,0,"Normal","TGFB1I1"
0,2.11736765618499,0.626,0.324,0,"Normal","PLPP3"
0,3.65215867355365,0.385,0.083,0,"Normal","UBXN8"
0,2.70863688223116,0.421,0.119,0,"Normal","FXYD6"
0,6.30110281949372,0.307,0.007,0,"Normal","FOXP2"
0,3.02791638392183,0.353,0.053,0,"Normal","ENOX1"
0,1.87056816271158,0.665,0.366,0,"Normal","DMD"
0,3.70784219367401,0.32,0.021,0,"Normal","VGLL3"
0,3.86249719206496,0.338,0.04,0,"Normal","PRELP"
0,2.26186779744113,0.44,0.142,0,"Normal","MAP1B"
0,4.82341634833939,0.332,0.035,0,"Normal","LINC03051"
0,2.22843563299073,0.768,0.471,0,"Normal","C1S"
0,4.25449152199232,0.348,0.051,0,"Normal","HSPB6"
0,1.54810892079347,0.845,0.55,0,"Normal","TOMM7"
0,3.32178807066844,0.38,0.086,0,"Normal","TMEM176A"
0,3.96466652818289,0.339,0.045,0,"Normal","ALDH1A1"
0,1.99192177175671,0.943,0.649,0,"Normal","BTF3"
0,1.88679637150264,0.851,0.558,0,"Normal","CIRBP"
0,2.02523987009341,0.782,0.49,0,"Normal","ANXA5"
0,2.89231269975979,0.375,0.083,0,"Normal","NEXN"
0,2.66841178277628,0.462,0.172,0,"Normal","LHFPL2"
0,2.48074814620502,0.365,0.075,0,"Normal","CPNE8"
0,1.2949081754374,0.354,0.066,0,"Normal","LUM"
0,4.72685361451516,0.309,0.022,0,"Normal","SFRP4"
0,4.56847189648314,0.312,0.025,0,"Normal","ADAMTS5"
0,2.30617507052076,0.374,0.088,0,"Normal","BASP1"
0,2.95303404058152,0.316,0.03,0,"Normal","EDIL3"
0,3.03770445554365,0.349,0.063,0,"Normal","GFPT2"
0,2.51686993323342,0.85,0.565,0,"Normal","RBP1"
0,3.73063410444322,0.381,0.096,0,"Normal","MIR503HG"
0,2.43872693328509,0.482,0.197,0,"Normal","THBS1"
0,3.80751157084357,0.402,0.118,0,"Normal","MARCHF3"
0,2.74882695523271,0.364,0.08,0,"Normal","PDE7B"
0,2.97422473939521,0.327,0.045,0,"Normal","TWIST2"
0,5.17255063727538,0.301,0.019,0,"Normal","SNCA"
0,2.24312449616983,0.347,0.065,0,"Normal","CARMN"
0,2.45887961033947,0.551,0.27,0,"Normal","CHSY1"
0,1.90606457758594,0.538,0.258,0,"Normal","EFEMP2"
0,3.32113943253703,0.332,0.053,0,"Normal","PTPRD"
0,3.05405371032765,0.396,0.117,0,"Normal","SYT1"
0,1.50535304459365,0.591,0.312,0,"Normal","DPYD"
0,4.25909841031522,0.308,0.029,0,"Normal","MEF2C-AS1"
0,3.08876876908631,0.405,0.127,0,"Normal","TCEAL1"
0,6.74839065744098,0.282,0.004,0,"Normal","ENSG00000285336"
0,6.52173619760212,0.287,0.009,0,"Normal","KLHL4"
0,1.92715939743821,0.52,0.243,0,"Normal","LAMB1"
0,2.33089382495686,0.363,0.086,0,"Normal","DENND2A"
0,1.78252909287796,0.66,0.383,0,"Normal","EIF3L"
0,2.32000548494005,0.334,0.058,0,"Normal","ADAMTS12"
0,3.16041340112929,0.31,0.036,0,"Normal","GLT8D2"
0,3.34512022817643,0.352,0.078,0,"Normal","PDGFRL"
0,2.46842200111594,0.318,0.045,0,"Normal","MSC-AS1"
0,1.86959045396211,0.382,0.11,0,"Normal","DOCK10"
0,2.5645344442339,0.405,0.133,0,"Normal","TMEM176B"
0,4.78948640937346,0.31,0.038,0,"Normal","CCBE1"
0,2.225194159886,0.392,0.12,0,"Normal","EHD2"
0,2.68664682922146,0.426,0.155,0,"Normal","RYR2"
0,1.00241573165332,0.843,0.572,0,"Normal","UBB"
