"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MRPS9",2.73646800331037e-06,-0.636035798367503,0.045,0.101,0.0906071920576098
"MTAP",2.74352390820465e-06,-0.557495063122376,0.112,0.19,0.0908408201245643
"MAPKAPK3",2.74545369289537e-06,-0.798364672705782,0.113,0.189,0.0909047172254585
"BANP",2.76918366674831e-06,1.43584548592462,0.301,0.242,0.0916904403897033
"ATP10A",2.81696163823447e-06,-0.792183809715867,0.068,0.13,0.0932724168035814
"ARID2",2.8236522539065e-06,-0.343077597149273,0.293,0.408,0.093493949779098
"RBMX2",2.90000491211436e-06,-0.770616743055337,0.048,0.104,0.0960220626450184
"ARHGEF6",2.93906199120037e-06,-0.314987529654373,0.138,0.223,0.0973152815906353
"COMMD3",2.96059646397931e-06,-0.393577113073622,0.104,0.18,0.098028309518819
"IQCB1",2.9616740466712e-06,-0.325350789730799,0.118,0.201,0.09806398935933
"ANP32A",3.00716434902005e-06,-0.316647359827617,0.273,0.388,0.099570218760403
"RNPEP",3.0140407566184e-06,-0.454416672275386,0.167,0.26,0.099797903492392
"HUWE1",3.01654723581689e-06,-0.304805779877036,0.24,0.345,0.099880895525133
"MTHFD1L",3.02197643503767e-06,1.01199595983113,0.267,0.204,0.100060661740532
"ARL6IP4",3.02349537699727e-06,-0.264814179697251,0.299,0.42,0.100110955427757
"MYO1C",3.04737876778802e-06,1.69364476912021,0.126,0.072,0.100901758380229
"TRAPPC11",3.07287318954648e-06,-0.464295737069735,0.109,0.183,0.101745904179073
"WDR43",3.09185325594646e-06,-0.404957735336216,0.098,0.173,0.102374353157643
"AP5Z1",3.10680971395301e-06,-0.543870483333627,0.123,0.203,0.102869576438698
"OTULIN",3.11015924870425e-06,1.29033398949222,0.222,0.159,0.102980482883846
"SLC22A23",3.11658731858e-06,1.42129650629885,0.124,0.07,0.103193322705503
"DPYD-AS1",3.1806859995711e-06,-0.967653168180109,0.045,0.1,0.105315694131799
"TANK-AS1",3.23040474254189e-06,2.07831905179782,0.118,0.067,0.106961931430304
"GAA",3.24745662661668e-06,0.833250815718116,0.307,0.248,0.107526536363905
"LPIN1",3.28022664768611e-06,-0.587882558788206,0.068,0.132,0.108611584531535
"NDUFB5",3.37768310909029e-06,-0.399434283480688,0.169,0.258,0.111838465425089
"PPFIBP1",3.4075439291024e-06,1.67775380033182,0.137,0.082,0.11282718703651
"HMGA1P4",3.41921754481566e-06,-0.907057298741692,0.068,0.129,0.113213712126391
"ZC3H15",3.49544993200152e-06,-0.35163708940726,0.215,0.318,0.115737842698502
"GSTP1",3.5203172054779e-06,-0.29155048343641,0.468,0.598,0.116561222990579
"RNF7",3.54369611571507e-06,-0.350460471884311,0.216,0.322,0.117335322087442
"UBB",3.6165893404198e-06,0.592357532415657,0.601,0.606,0.11974888965064
"TXNL4A",3.62836903042304e-06,-0.311969576192959,0.158,0.247,0.120138926966337
"TSNAX",3.65232845787056e-06,-0.283923074178264,0.136,0.222,0.120932247568552
"MKRN1",3.66121657883142e-06,-0.545107631711663,0.119,0.196,0.121226542141687
"MRTFB",3.66739032550815e-06,-0.387440377753538,0.07,0.135,0.1214309610679
"SELENOT",3.74997190917497e-06,-0.354879225462874,0.245,0.351,0.124165319884692
"SFMBT1",3.76881984516644e-06,1.09567327515365,0.166,0.105,0.124789393893306
"GGCT",3.77891280497079e-06,-0.622923545478762,0.078,0.143,0.125123581885388
"COPS7A",3.8518924627863e-06,-0.279416652762672,0.068,0.132,0.127540011335317
"RAB2A",3.88316627112232e-06,-0.283892228031223,0.45,0.575,0.128575518403131
"PLAAT3",3.89621107976021e-06,1.15979028800333,0.193,0.133,0.12900744506194
"PLB1",3.95522763864792e-06,-0.257706259987858,0.055,0.115,0.130961542343271
"LETMD1",3.96888853466423e-06,-0.539296931658755,0.062,0.124,0.131413868271267
"MYL6B",4.01281787636539e-06,1.56903544264841,0.113,0.062,0.132868412704334
"EXOSC1",4.0257505262309e-06,-0.277939749540615,0.076,0.143,0.133296625674031
"FAM222B",4.04439814614432e-06,-0.276360707301402,0.147,0.231,0.133914067016985
"TBC1D14",4.04867441269635e-06,-0.411454296380397,0.233,0.329,0.134055658478789
"RAB13",4.06437808986984e-06,1.14468014146607,0.256,0.198,0.13457562293368
"PCMT1",4.12950019707244e-06,-0.410431300495493,0.172,0.264,0.136731881025266
"RAB27A",4.16507289078243e-06,-0.743065604489045,0.077,0.141,0.137909728486697
"RAB4B",4.1687857088661e-06,-0.694098661143179,0.074,0.138,0.138032663606266
"PXK",4.20035395714624e-06,-0.310265490355922,0.113,0.192,0.139077919875069
"FMNL3",4.31056233952705e-06,1.13464614620318,0.25,0.184,0.14272702962408
"SMARCD2",4.31124861199026e-06,-0.983749303063044,0.078,0.142,0.14274975279161
"IFI44",4.35404481210155e-06,0.884747571664853,0.362,0.304,0.144166777773495
"TMEM140",4.37710373926874e-06,1.86956143628756,0.152,0.098,0.144930281910927
"DMXL1",4.40331915685996e-06,0.94661273440214,0.406,0.358,0.14579830060279
"HLCS",4.40498671413641e-06,-0.445283894589831,0.077,0.143,0.145853515091771
"ENSG00000291066",4.41237125459776e-06,-0.401169008995722,0.083,0.151,0.146098024610986
"SNRPA",4.44240131600329e-06,-0.504648466517804,0.069,0.133,0.147092349974185
"MAN2C1",4.6025337482319e-06,-0.499266017568108,0.087,0.155,0.152394494937706
"SFMBT2",4.60429260091296e-06,0.459695245604271,0.55,0.514,0.152452732308829
"LRRC25",4.66297158914186e-06,-0.589478125406588,0.197,0.284,0.154395652288076
"FBRSL1",4.70299104611647e-06,-0.419334956989186,0.087,0.155,0.155720736527962
"MAP3K11",4.72497646783631e-06,-0.733485514422894,0.109,0.183,0.156448695826528
"SEC11C",4.94938481225644e-06,-0.324158545020742,0.127,0.207,0.163879080518623
"RGPD2",4.99941434864224e-06,1.48858393858741,0.111,0.061,0.165535608497893
"SSBP4",5.02008133360802e-06,-0.408093203733137,0.124,0.201,0.166219913037095
"SLC7A8",5.02610013946447e-06,-0.686924049244911,0.095,0.165,0.166419201717808
"OSTC",5.1100997717278e-06,-0.282558534267674,0.248,0.352,0.169200513541679
"MAPK8",5.25094577736507e-06,-0.263764529618823,0.215,0.314,0.173864065634335
"TMEM39A",5.2691744389469e-06,-0.368254789534272,0.064,0.126,0.174467634847971
"TARDBP",5.28871870587846e-06,-0.438143208850241,0.113,0.19,0.175114765070342
"APEX1",5.34208509770584e-06,-0.381351419236502,0.145,0.228,0.176881779670138
"RAP2C",5.37749338925364e-06,-0.608113940518775,0.071,0.135,0.178054183611577
"SYMPK",5.38090479047122e-06,-0.450017492419132,0.106,0.18,0.178167138517293
"NINJ1",5.3925352708401e-06,0.574294873473812,0.46,0.404,0.178552235352786
"GOLGA1",5.43575217283975e-06,-0.642949828677667,0.069,0.13,0.179983190194897
"CBLB",5.49482998175516e-06,0.810095187058354,0.431,0.376,0.181939315525895
"TRAF3IP2-AS1",5.50063583898764e-06,-0.500964845314842,0.131,0.21,0.18213155326472
"RPS27L",5.57271973378677e-06,0.517591288228226,0.534,0.495,0.184518323105414
"HYOU1",5.61275469252378e-06,-0.441308940905748,0.074,0.137,0.185843920624155
"SMURF1",5.65401963408207e-06,-0.276875534795887,0.223,0.32,0.187210244104091
"MAML2",5.65667537095003e-06,0.374580794550918,0.749,0.71,0.187298178207527
"PPP2R5E",5.65894085521828e-06,-0.303012370783293,0.253,0.357,0.187373190657132
"CARD16",5.66596165471988e-06,-0.426473307578117,0.275,0.376,0.18760565634943
"CCZ1",5.75407518433171e-06,-0.778426990818007,0.074,0.136,0.190523183428407
"ASMTL",5.78488880750185e-06,-0.343289522189941,0.052,0.108,0.191543453305194
"TRIM38",5.84568082262152e-06,-0.309491026453255,0.181,0.27,0.193556337717821
"NIPSNAP2",5.85674260077801e-06,-0.285505884018147,0.165,0.255,0.193922604254361
"AAGAB",5.89067843248405e-06,-0.747195425881856,0.085,0.151,0.195046253577979
"DDX50",5.98946637058557e-06,-0.423989764243647,0.107,0.182,0.198317220996459
"INSIG2",5.99780084842966e-06,1.62946015074752,0.183,0.127,0.198593183892355
"MIR155HG",6.00178753784949e-06,0.512618263198927,0.249,0.173,0.198725187165735
"ZNG1B",6.00937467827817e-06,-0.401408698497484,0.068,0.13,0.198976404972469
"DPP8",6.14050700402696e-06,-0.48006547305848,0.148,0.228,0.203318327410337
"NACC2",6.17162291349227e-06,-0.924644882843317,0.066,0.124,0.204348606288642
"SNRNP70",6.22333648619232e-06,-0.459004414084042,0.183,0.271,0.206060894394314
"IDH3B",6.27464375025157e-06,-1.02054676137041,0.066,0.125,0.20775972921458
"SNRNP40",6.31058637166713e-06,-0.409727888797578,0.07,0.132,0.20894982535227
"BECN1",6.31534357219726e-06,-0.479634221281078,0.061,0.121,0.209107341019023
"LARP1B",6.32823449155094e-06,-0.628851022359022,0.057,0.113,0.209534172249743
"MINDY3",6.36175819779581e-06,-0.342055817576032,0.111,0.187,0.210644175687217
"POLR2J3",6.38407178215713e-06,-0.251705919108657,0.196,0.294,0.211383000779005
"IDH2",6.43265271865181e-06,0.907070858949273,0.235,0.17,0.21299156416728
"NDUFAF8",6.5092796616078e-06,-0.592551981947886,0.088,0.155,0.215528758875496
"CREBL2",6.55345320727861e-06,-0.410095533981017,0.133,0.216,0.216991389146202
"TMED5",6.64648407805655e-06,-0.261791507060857,0.215,0.313,0.22007173430853
"SMARCA4",6.6917285990339e-06,-0.485290734396641,0.147,0.23,0.221569825642611
"TMEM160",6.71863906211218e-06,-0.338938269328539,0.175,0.264,0.222460857985596
"GNA15",6.83635058873213e-06,0.779396888252281,0.245,0.183,0.22635840434351
"HIBADH",6.83769000936102e-06,-0.437966351035659,0.123,0.201,0.226402753899953
"CD14",6.95272879725647e-06,0.528056140396207,0.656,0.664,0.230211803205959
"UXT",7.05128475701732e-06,-0.377155064255972,0.196,0.289,0.2334750895896
