"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ACTR2",3.10364034209077e-15,-0.273482598760359,0.599,0.745,1.02764635366968e-10
"CHUK",3.23757442841732e-15,-0.779917390586937,0.062,0.129,1.07199326899326e-10
"MEF2C",3.30311586271787e-15,-0.392844707709827,0.539,0.665,1.09369469330451e-10
"TRPV4",3.31020701179283e-15,1.99600108696852,0.119,0.05,1.09604264367472e-10
"MMP24OS",3.35899402919168e-15,-0.52579819947922,0.188,0.292,1.11219651300566e-10
"DUSP2",3.3926052172717e-15,-1.01974479746139,0.178,0.266,1.12332551349083e-10
"UQCRH",3.49903948968267e-15,-0.271279428035094,0.383,0.539,1.15856696542883e-10
"CNBP",3.52974849400051e-15,-0.252077003606151,0.332,0.469,1.16873502384851e-10
"TIMM13",3.9573704938706e-15,-0.634728737136844,0.158,0.254,1.3103249442255e-10
"C1orf56",4.01574849880202e-15,-1.00591419202353,0.048,0.108,1.32965448543834e-10
"VAMP8",4.06346502999737e-15,-0.339939904232513,0.455,0.616,1.34545390608243e-10
"KSR1",4.16750403223712e-15,-0.77848327867292,0.113,0.194,1.37990226011403e-10
"SERTAD1",4.37695827825251e-15,-0.982860146180215,0.095,0.171,1.44925465551219e-10
"ZNF804A",4.47744416470887e-15,0.75039946798351,0.354,0.256,1.48252653737675e-10
"HNRNPF",4.6401123220929e-15,-0.337046037569597,0.325,0.457,1.53638759096818e-10
"ZDHHC2",4.89229118816612e-15,-0.568696089207542,0.079,0.153,1.61988653531368e-10
"QKI",4.97987150557458e-15,0.348516353142922,0.842,0.848,1.6488852542108e-10
"COPZ1",5.03115632302959e-15,-0.685044718296844,0.15,0.244,1.66586617011833e-10
"GLCCI1",5.19656537272539e-15,1.40163190894396,0.204,0.118,1.72063476056311e-10
"PCNX2",5.25670956710787e-15,1.17183804690112,0.229,0.14,1.74054910476509e-10
"WDR1",5.66388910884415e-15,-0.36816352540548,0.254,0.371,1.87537032282939e-10
"MTHFS",5.6861706832081e-15,-0.439299030301332,0.104,0.187,1.88274797491703e-10
"CARD16",5.95333817772234e-15,-0.56670478959246,0.262,0.376,1.97120980402564e-10
"SPTSSA",6.01070095374703e-15,-0.774452562080436,0.078,0.149,1.99020319279518e-10
"UBASH3B",6.07591389120993e-15,-0.532436459622762,0.302,0.426,2.01179584851852e-10
"TMPO",6.99600528847446e-15,-0.85761161044826,0.148,0.236,2.31644731106678e-10
"TULP4",7.22242813203931e-15,1.20364078395473,0.263,0.175,2.39141817879954e-10
"EIF5",8.04823761040097e-15,-0.255512662771137,0.366,0.503,2.66485195517986e-10
"BLVRA",8.3376336826786e-15,-0.408559370357417,0.247,0.358,2.76067388867171e-10
"SELENOT",8.50805159735392e-15,-0.381694707097959,0.236,0.351,2.81710096439986e-10
"M6PR",8.91672477834083e-15,-0.401050069727471,0.32,0.444,2.95241674135643e-10
"TINF2",9.09305149460106e-15,-1.06391735590206,0.058,0.121,3.01080028037736e-10
"ACBD6",9.53576859373008e-15,-0.36867959453313,0.26,0.375,3.15738833906997e-10
"GABARAPL1",9.54396789447315e-15,-0.820011552964171,0.12,0.203,3.16010320953901e-10
"DENND4A",1.00072555237628e-14,-0.470573908193148,0.411,0.537,3.31350237647311e-10
"FAM162A",1.0433947579968e-14,1.31813041990763,0.242,0.157,3.45478438320321e-10
"APRT",1.15961372515514e-14,-0.394145186443862,0.283,0.414,3.8395970053612e-10
"SYNGR2",1.1665359004509e-14,0.98102309476675,0.359,0.28,3.86251701998296e-10
"ZDHHC20",1.25436878637155e-14,-0.432435656206971,0.25,0.364,4.15334048855486e-10
"PLXNC1",1.27740568104361e-14,0.679409123073259,0.466,0.389,4.22961795050349e-10
"TLR2",1.34866276715531e-14,-0.251287406508761,0.435,0.564,4.46555728832793e-10
"TMEM59",1.43306219208595e-14,-0.273085635839096,0.313,0.441,4.7450122242158e-10
"MDFIC",1.54850522386542e-14,0.790142527062812,0.455,0.384,5.12725564674079e-10
"IER5L",1.5487479574705e-14,1.33629189928436,0.2,0.116,5.12805936198059e-10
"SMDT1",1.60679217985285e-14,-0.528788107382743,0.197,0.297,5.32024958671078e-10
"NDUFA11",1.6214626323541e-14,-0.438078365155147,0.264,0.384,5.36882492198767e-10
"XRN2",1.6377116705521e-14,-0.389551495208871,0.294,0.417,5.42262711236506e-10
